comment,language,platform,label
"অন্ধকারের পরেই নতুন সূর্য উদয় হয়। আপনি শক্ত হাতে বৈঠা ধরেন, আপনি আমাদের শেষ আশ্রয় স্থল। জয় বাংলা জয় বঙ্গবন্ধু।",Bangla,Facebook,Negative
ধন্যবাদ মাননীয় প্রধানমন্ত্রী।,Bangla,Facebook,Negative
"রাষ্ট্রের সম্পদ নষ্ট করবে, আইন শৃঙ্খলা বাহিনীদের হত্যা করবে, আর ওনাদের কিছু বলবে না? মাননীয় প্রধানমন্ত্রী একদম সঠিক কাজ করছে। ",Bangla,Facebook,Negative
জাতি কি তাহলে পুলিশ বাহিনী দের যারা হত্যা করছে তাদের হাতে নিরাপদ? যারা কারাগারে হামলা করে কয়েদীদেরকে নিয়ে যায় তাদের হাতে কি নিরাপদ?,Bangla,Facebook,Negative
ক্লাউড ফ্লেয়ার বলতেছে বাংলাদেশ সরকারের নির্দেশে ইন্টারনেট বিচ্ছিন্ন করা হয়েছে। মিথ্যুক কোথাকার।,Bangla,Facebook,Positive
ছাত্রদের সামনে রেখে বিএনপি যা করেছে এর ফলাফল পাবে। যারা জ্বালাও পোড়াও করছে তাদের বিরুদ্ধে কঠোর ব্যবস্থা নেওয়া হোক।,Bangla,Facebook,Negative
তোমাদের নেত্রী অতি শিগগিরই জয়বাংলা হয়ে যাবে। সুতরাং কে সহিংসতা আর ঘুম খুন সন্ত্রাসী দূর্নীতি করে সব বের হবে পইপই করে।  ,Bangla,Facebook,Positive
হঠাও হাসিনা বাঁচাও দেশ। ,Bangla,Facebook,Positive
আজকের শেখ হাসিনার বক্তব্য শুনে সত্যিই মানুষটার প্রতি মায়া হয়েছে কতটা অসহায় হয়ে কথা বলছে বার বার ধন্যবাদ দিয়েছে ব্যবসায়ীদের আওয়ামী লীগের সাথে থাকার জন্য। ,Bangla,Facebook,Negative
শেখ হাসিনার পরিবার বংশগত রাজাকার। ,Bangla,Facebook,Positive
"গত ১৬ বছর ধরে একজন শেখ হাসিনা কীভাবে পুরো দেশটিকে দৃঢ়ভাবে পরিচালনা করে আগলে রেখেছিলেন, তা ভাবতে হলে আমাদের বিবেককে জাগ্রত করতে হবে।",Bangla,Facebook,Negative
বাংলাদেশ ছাত্রলীগের সংবাদ সম্মেলন সফল হোক। ,Bangla,Facebook,Negative
"ছাত্রলীগ সর্বদা শিক্ষার্থীদের পাশে ছিল, আছে এবং থাকবে।",Bangla,Facebook,Negative
"ছাত্রসমাজের প্রত্যাশার প্রতিফলন, বাংলাদেশ ছাত্রলীগ। ",Bangla,Facebook,Negative
ধন্যবাদ মাননীয় প্রধানমন্ত্রী।,Bangla,Facebook,Negative
হায়রে নাটক। ,Bangla,Facebook,Positive
এখনই সময় স্বৈরাচারের পতন। শ্রীলঙ্কার প্রধানমন্ত্রীর মত উলঙ্গ করে গদি ছাড়া করতে হবে নির্লজ্জ বেহায়াদের।,Bangla,Facebook,Positive
ধন্যবাদ নেএী। ,Bangla,Facebook,Negative
"শেখ হাসিনার তোমার ভয় নাই, রাজপথ ছাড়ি নাই।",Bangla,Facebook,Negative
নারীদের অগ্রধিকার এর জন্য নারী কোটা দিয়েছেন আপনারা। তাহলে নারীদের ওপর যে হাত তোলা হয়েছে এগুলা বিচার কি হবে বাংলার জমিনে?,Bangla,Facebook,Positive
মুক্তিযুদ্ধের চেতনা। দেশটা কারো বাপের না।,Bangla,Facebook,Negative
দেশরত্ন শেখ হাসিনা। ,Bangla,Facebook,Negative
আপনি পারেন দেশকে এগিয়ে নিয়ে যেতে জয় বাংলা জয় বঙ্গবন্ধু। ,Bangla,Facebook,Negative
"আমাদের নেত্রী, আমাদের অহংকার। ",Bangla,Facebook,Negative
আপনার মাধ্যমে সুষ্ঠু সমাধান চাচ্ছি। ,Bangla,Facebook,Neutral
ধন্যবাদ মাননীয় প্রধানমন্ত্রী শেখ হাসিনা আপা। ,Bangla,Facebook,Negative
বাংলাদেশ ছাত্রলীগ। ,Bangla,Facebook,Negative
নেতা মুদের শেখ মুজিব।,Bangla,Facebook,Negative
প্রিয় নেত্রী শেখ হাসিনা। ,Bangla,Facebook,Negative
"জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের সুযোগ্য কন্যা, বঙ্গবন্ধু তনয়া, দেশরত্ন মাননীয় প্রধানমন্ত্রী জননেত্রী শেখ হাসিনা মানেই আস্থা ও বিশ্বাসের জায়গা। ",Bangla,Facebook,Negative
"মানবতার ফেরিওয়াল, মানব দরদী, গণতন্ত্রের মানুষ কন্যা, জননেত্রী শেখ হাসিনা আমাদের অহংকার, আমাদের গৌরবের প্রতীক।",Bangla,Facebook,Negative
"মাশাল্লাহ, অসাধারণ চমৎকার বক্তব্য রেখেছেন প্রধানমন্ত্রী।",Bangla,Facebook,Negative
শেখ হাসিনার সরকার বারবার দরকার। ,Bangla,Facebook,Negative
জয়তু শেখ হাসিনা। ,Bangla,Facebook,Negative
ধন্যবাদ মাননীয় প্রধানমন্ত্রী। ,Bangla,Facebook,Negative
চোর চোর ভোট চোর আওয়ামী লীগ ভোট চোর। ,Bangla,Facebook,Positive
আমরা আছি আপনার সাথে প্রধানমন্ত্রী আপা।,Bangla,Facebook,Negative
ফিরিয়ে দিন আবু সাঈদকে। ,Bangla,Facebook,Positive
আপনি না সবাইকে বলেন আপনি সবার মা। এই মা আপনি? মা কি করে সন্তানদের খু'ন করার অর্ডার দেয়?,Bangla,Facebook,Neutral
কেনো আপনি অর্ডার দিলেন সবাইকে মে'রে ফেলার?,Bangla,Facebook,Neutral
আন্দোলন যাবে আন্দোলন আসবে  বাংলাদেশ ছাত্রলীগ থাকবে। ,Bangla,Facebook,Negative
যেখানে লড়াই করার কথা ছিলো মুক্তিযোদ্ধা বানাম রাজাকার সেখানে লড়াই করে ছাত্রলীগ বানাম রাজাকার! অথচ চাকরিতে ছাত্রলীগের কোটা নেই! হাস্যকর। ,Bangla,Facebook,Negative
ছাত্রলীগের উচিৎ চাকরিতে ছাত্রলীগ কোটা এড করার। ,Bangla,Facebook,Negative
বাংলাদেশ সৃষ্টিলগ্ন থেকে ছাত্রলীগের অবদান আছে। ,Bangla,Facebook,Negative
"আমরা বঙ্গবন্ধু আদর্শ হিসেবে নিয়েই বলছি আমাদের ওপর নির্যাতন হচ্ছে, আমাদের কষ্ট হচ্ছে জীবন চালাতে। ",Bangla,Facebook,Neutral
আপনার কালো শাড়ির অন্তরালে লুকিয়ে ছিল আপনার কালো মনমানসিকতা। ,Bangla,Facebook,Positive
প্রিয় নেত্রী শেখ হাসিনা। ,Bangla,Facebook,Negative
আমরা আওয়ামী-লীগের পরিবার সবাই ফলো দিয়ে পাশে থাকবেন জয় বাংলা। ,Bangla,Facebook,Negative
আমাদের জননেত্রী ম্যাডাম। ,Bangla,Facebook,Negative
মাননীয় নেত্রী আপনার প্রশ্নে আমরা আপোষহীন। ,Bangla,Facebook,Negative
"মাননীয় প্রধানমন্ত্রী, আজকে আমাদের সর্বস্বাধীন বাংলাদেশের স্বপক্ষের শক্তি ও মহান মুক্তিযোদ্ধাদের সম্মানহানী করতেছে। স্বাধীনতা বিরোধী পাকিস্তানের জারজ সন্তান। তাদের বিরুদ্ধে আপনি হয়তো কঠোর হোন না হলে আমাদের ছাত্রলীগের হাতে আইন তুলে দিন। কয় মিনিট টিকে থাকতে পারে আমরা দেখে নেব।",Bangla,Facebook,Negative
বাংলাদেশ ছাত্রলীগের ধৈর্য্যসিমা ছাড়িয়ে গেছে। চট্টগ্রামের এই জঘন্য ছাত্র নামের গুন্ডাবাহিনীদের দেখে।,Bangla,Facebook,Negative
"৫২ থেকে শুরু করে আজ পর্যন্ত ছাত্রলীগ মার খেয়েই জয় ছিনিয়ে এনেছিলো এখন ও তার পরিবর্তন হবে না জয় হবে বাংলার, জয় হবে ছাত্রলীগের। ",Bangla,Facebook,Negative
আপনার মাধ্যমেই দেশের মানুষের জন্য সাধারণ শিক্ষার্থীদের জন্য একটি সুন্দর সমাধান নিশ্চিত হবে বলে আমরা বিশ্বাস করি।,Bangla,Facebook,Neutral
"তুমি কে, আমি কে? বাঙালি, বাঙালি। কে বলেছে, কে বলেছে? প্রিয় নেত্রী, প্রিয় নেত্রী। ",Bangla,Facebook,Negative
"ধন্যবাদ মাননীয় প্রধানমন্ত্রী মহোদয়, আল্লাহ সহায় হউন।",Bangla,Facebook,Negative
গুটি কয়েক শিক্ষক আর আইনজীবিরা ছাএদেরকে উস্কে দিচ্ছে।,Bangla,Facebook,Negative
আন্দোলনের নামে সাধারন মানুষ হয়রানি। ,Bangla,Facebook,Negative
শান্তির পথ বের করো। দেশটাকে ধ্বংস করো না। অনুরোধ রইল।,Bangla,Facebook,Neutral
"রাজপথে কোন শিক্ষার্থী নেই, আছে সন্ত্রাসী গুষ্টি ও নাশকতাকারী।",Bangla,Facebook,Negative
এখন আর সাধারণ ছাত্র আন্দোলন নাই তাদের মূলদাবি মানা হয়েছে।  ,Bangla,Facebook,Negative
"আচ্ছা এখন আন্দোলন টা কিসের, কেনো? হুজুগে কাজ না করে ভালো করে ভাবুন, কারা আসলে সাধারণ ছাত্রছাত্রীদের নাম ভাঙ্গিয়ে দেশের ক্ষতি করতে চায়। যদিও এখন আর তেমন নেই। তাদের মধ্যে সত্যি কারের ছাত্র-ছাত্রী আছে কিনা সন্দেহ। ",Bangla,Facebook,Negative
ছাত্র ভাইদের ৯ দফা দাবির সাথে কারা কারা একমত?,Bangla,Facebook,Positive
দুর্বার গতিতে এগিয়ে যাচ্ছে বাংলার দামাল ছাত্রলীগ। ,Bangla,Facebook,Negative
আবার কি দাবি?,Bangla,Facebook,Neutral
এই জেনারেশনকে আটকানোর মত ক্ষমতা কোনো সরকারের নেই। এই জেনারেশনকে বন্দি রাখার মতো কোনো কারাগার পৃথিবীতে নেই। ,Bangla,Facebook,Positive
তরুনদের এই জনস্রোত রুখার মত ক্ষমতা কারো নাই। ,Bangla,Facebook,Positive
কোটা পদ্ধতিতে মুক্তিযোদ্ধা পরিবারের অধিকার কোটা থাকতেই হবে। ,Bangla,Facebook,Negative
"এবার ত থামেন, ভিক্ষা করার চেয়ে শ্রম দেন। সম্মানের সহিত বাচেন। ",Bangla,Facebook,Positive
নিপাত যাক সকল কোটার অপব্যবহার।,Bangla,Facebook,Neutral
যুদ্ধে অংশ গ্রহন করেছিল তাদের জন্য কোটা লাগবে বা দিতে হবে।,Bangla,Facebook,Negative
দেশের ৯৯% মানুষের দাবী আদায়ের সংগ্রাম সফল হোক। ,Bangla,Facebook,Positive
"শুধু মাত্র মুক্তিযোদ্ধার সন্তান ও প্রজন্মের জন্য ৩০% মুক্তিযোদ্ধা কোটা থাকবে! বাকি ৭০% সাধারণদের জন্য,আর কোন কোটা থাকবে না।",Bangla,Facebook,Negative
"যারাই তীব্রভাবে মুক্তিযোদ্ধা কোটার বিরোধীতা করে, তাদের বেশিরভাগই দেখবেন জামায়াত-শিবিরের রাজনীতির সাথে জড়িত। মহামান্য হাইকোর্টকে যারা অবমাননা করেছে তারা আর কেউ না। তাদেরকে চিহ্নিত করে ব্যবস্থা নেয়া হবে শীঘ্রই।",Bangla,Facebook,Negative
"আমরা মুক্তিযোদ্ধাদের নাতি,পোতা,সন্তান-আমরা কোন দিক দিয়ে অযোগ্য নয়, তাই আমরাও কোটা চাই না।জয় বাংলা।",Bangla,Facebook,Neutral
এটা মুক্তিযোদ্ধার নাতির বক্তব্য হতে পারে না এটা রাজাকারের নাতি। ,Bangla,Facebook,Negative
দূর্ভোগ না করে আলোচনার মাধ্যমে সমাধান করা উচিৎ।,Bangla,Facebook,Neutral
ছাত্রলীগ ঘুরে দাড়ালে কারো বাপেরও ক্ষমতা নাই পালাবার। ,Bangla,Facebook,Negative
শেখ হাসিনা আঃলীগের পাশে আছি আমরা গোপালগঞ্জ বাসী,Bangla,Facebook,Negative
নৌকা আবার আসবে ক্ষমতায়।,Bangla,Facebook,Negative
বিএনপি পালাবার পথ খুজে পাবে না ইনশাআল্লাহ।আমরা বাংলাদেশীরা ভারতের বন্ধু হয়ে সারা জীবন থাকতে চাই।,Bangla,Facebook,Negative
কি একটা অবস্থা আমাদের দেশের। কেউ কোটা আন্দোলন বাতিল করতে এসে কোটায় মন্ত্রী হয়ে যাচ্ছে। ,Bangla,Facebook,Negative
একদিন আওয়ামীলীগ পুরো পৃথিবী শাসন করবে।,Bangla,Facebook,Negative
"কোটা আন্দোলন কারা করছে, বিরোধী দলের ষড়যন্ত্র আছে কিনা সেসব তদন্ত করার জন্য ১০১ সদস্য বিশিষ্ট কমিটি গঠন করেন",Bangla,Facebook,Negative
আমি নিজেই একজন ছাত্রলীগ কর্মী।বঙ্গবন্ধুর আদর্শ ধারণ এবং লালন করি।,Bangla,Facebook,Negative
আমরাও চাই এর সমাধান হোক। কোটা একেবারে বাতিল না করে ১০% রাখতে পারেন যাতে পিছিয়ে থাকা জনগোষ্ঠী তাদের এগিয়ে নেওয়ার সুযোগ পায়।,Bangla,Facebook,Neutral
আমার মনে হয় সব ছাত্রলীগদের কে চাকরি দেওয়া উচিত। ,Bangla,Facebook,Negative
মেধাবীদের চাকরি পাওয়া উচিত। ,Bangla,Facebook,Positive
চলুন শপথ করি জননেত্রী শেখ হাসিনাকে বীরের বেশে দেশে ফিরিয়ে আনবো আমরা ইনশাআল্লাহ!!,Bangla,Facebook,Negative
"জয় বাংলা জয় বঙ্গবন্ধু, জয় শেখ হাসিনার নেতৃত্বে জয় বাংলা। ",Bangla,Facebook,Negative
পুরো বাংলাদেশ আপনার দিকে তাকিয়ে আছে আপনি আসবেন ইনশাআল্লাহ বীরের বেশে। ,Bangla,Facebook,Negative
ইনশাআল্লাহ বাদ দিয়ে জয় বাংলা বল,Bangla,Facebook,Negative
আলহামদুলিল্লাহ জয়বাংলা জয় বঙ্গবন্ধু,Bangla,Facebook,Negative
"প্রিয় নেত্রী, প্রিয় আপা",Bangla,Facebook,Negative
গনতন্ত্রের মানসকন্যা দেশরত্ন শেখ হাসিনা।,Bangla,Facebook,Negative
বাংলাদেশ ছাত্রলীগের একমাত্র অভিভাবক দেশ রত্ন শেখ হাসিনা আপার জন্মদিন।,Bangla,Facebook,Negative
আপনার নির্দেশনা ছাত্রলীগ অপেক্ষায়।,Bangla,Facebook,Negative
আমাদের প্রাণপ্রিয় দেশনেত্রী শেখ হাসিনা।তার সুস্থতা ও দীর্ঘায়ু কামনা করি!,Bangla,Facebook,Negative
প্রাণের প্রিয় সংগঠন বাংলাদেশ ছাত্রলীগ ,Bangla,Facebook,Negative
ছাত্রলীগের পক্ষে হয়ে সব সময় লড়াই করা জন্য প্রস্তুত আছি,Bangla,Facebook,Negative
মৃত্যুর আগ পযর্ন্ত বঙ্গবন্ধু কর্মী হয়ে থাকবো।,Bangla,Facebook,Negative
মুজিববাদের জয় হোক।,Bangla,Facebook,Negative
সফল হোক প্রাণের সংগঠন শিক্ষা-শান্তি-প্রগতি,Bangla,Facebook,Negative
"যৌবনের প্রথম প্রেম,ভালোবাসার প্রাণপ্রিয় সংগঠন ""বাংলাদেশ ছাত্রলীগ""",Bangla,Facebook,Negative
প্রানের সংগঠন বাংলাদেশ ছাত্রলীগ। ,Bangla,Facebook,Negative
বাংলাদেশ ছাত্রলীগের ৭৭ তম প্রতিষ্ঠাবার্ষিকীতে সকল তৃণমূল নেতাকর্মীদের জানাই মুজিবীয় শুভেচ্ছা ও অভিনন্দন।,Bangla,Facebook,Negative
"শিক্ষা,শান্তি,প্রগতি জয় বাংলা ছাত্রলীগের মূলনীতি।",Bangla,Facebook,Negative
সবাই বাংলাদেশ ছাত্রলীগের পেইজটি প্রমোট করুন। এটি অফিশিয়াল পেইজ হিসেবে ফলোয়ার অনেক কম।,Bangla,Facebook,Negative
"আমার আবেগ অনুভুতির, ভালোবাসা সংগঠন বাংলাদেশ ছাত্রলীগ।",Bangla,Facebook,Negative
"শৈশব কৈশোর জীবন ও যৌবনের ভালোলাগা ভালোবাসার, প্রিয় সং গঠনের ছাত্রলীগ।",Bangla,Facebook,Negative
প্রাণের সংগঠন হৃদয়ের স্পন্দন বাংলাদেশ ছাত্রলীগের প্রতিষ্ঠাবার্ষিকী সফল হোক,Bangla,Facebook,Negative
শুভ জন্মদিন গৌরব ঐতিহ্যের সংগঠন বাংলাদেশ ছাত্রলীগ,Bangla,Facebook,Negative
জয় বাংলা জয় বঙ্গবন্ধু কেউ দাবায়ে রাখতে পারবে না ইনশাআল্লাহ। ,Bangla,Facebook,Negative
১৯৪৮ সালের ৪ জানুয়ারি ঢাকা বিশ্ববিদ্যালয়ের ফজলুল হক মুসলিম হলের অ্যাসেম্বলি হলে পূর্ব পাকিস্তান মুসলিম ছাত্রলীগের প্রতিষ্ঠা করেন বঙ্গবন্ধু। ,Bangla,Facebook,Negative
জয় বাংলা জয় বঙ্গবন্ধু জয় হোক বাংলাদেশ ছাত্রলীগের। ,Bangla,Facebook,Negative
আমি বঙ্গবন্ধুর সৈনিক দেখতে চাই। ,Bangla,Facebook,Negative
আমি শেখ হাসিনার সৈনিক দেখতে চাই,Bangla,Facebook,Negative
প্রিয় নেত্রীর অপেক্ষায় বাংলার জনগণ।,Bangla,Facebook,Negative
সবাই বুঝতে পারছে শেখ হাসিনার হাতেই দেশ নিরাপদ ছিলো ।,Bangla,Facebook,Negative
"জয় বাংলা, দেখা হবে রাজপথে। ",Bangla,Facebook,Negative
জয় বাংলা জয় বঙ্গবন্ধু জয় আওয়ামী লীগ জয় শেখ হাসিনা। ,Bangla,Facebook,Negative
"বাংলাদেশ ছাত্রলীগের সম্মানিত কর্মি, সমর্থক ভাই ও বোনেরা আপনাদের খারাপ সময় অতিবাহিত হচ্ছে জানি, আপনাদের পাশে আমি সাধ্য মত দাড়াতে চাই। ",Bangla,Facebook,Negative
৫৬ হাজার বর্গমাইলের প্রতি ইঞ্চি মাটি থেকে স্লোগান হবে 'জয় বাংলা জয় বঙ্গবন্ধু'। ,Bangla,Facebook,Negative
"শেখ হাসিনার শাসনামলে, জনগণ যেমন শান্তিতে ছিল তেমনি নিরাপদে ছিল। ",Bangla,Facebook,Negative
"শেখ হাসিনা সরকার,গরিব দুঃখী ও মেহনতী মানুষের সরকার।",Bangla,Facebook,Negative
উন্নয়নের ধারাবাহিকতা বজায় রাখতে শেখ হাসিনার কোন বিকল্প নেই। ,Bangla,Facebook,Negative
শেখ হাসিনা সরকার বার বার দরকার।,Bangla,Facebook,Negative
পদ পদবীহীন আওয়ামিলীগ ভক্ত। নিঃস্বার্থ হীন দলের কর্মী সাপোর্ট করি আওয়ামিলীগ ভালোবাসি। ,Bangla,Facebook,Negative
জয় আওয়ামিলীগ পরিবারের । ,Bangla,Facebook,Negative
"আমার আজন্ম লালিত স্বপ্ন,কৈশোরের আবেগ,যৌবনের প্রথম প্রেম, হৃদয়ের প্রচন্ড অহংকার,ভালোবাসার প্রাণপ্রিয় প্রতিষ্ঠান ""বাংলাদেশ ছাত্রলীগ। ",Bangla,Facebook,Negative
"বাংলাদেশ ছাত্রলীগ পরিবার এর প্রতিটি আদর্শিক নেতা-কর্মী-সমর্থক-শুভাকাঙ্ক্ষী'দের জানাই প্রাণঢালা শুভেচ্ছা, নিরন্তর শুভকামনা।  ",Bangla,Facebook,Negative
"শিক্ষা শান্তি প্রগতি। ছাত্রলীগের মূল নীতি।  জয় বাংলা, জয় বঙ্গবন্ধু।",Bangla,Facebook,Negative
প্রজন্ম থেকে প্রজন্মের অনু প্রেরনা বাংলাদেশ ছাত্রলীগ।,Bangla,Facebook,Negative
গৌরব ও ঐতিহ্যের সংগঠন বাংলাদেশ ছাত্রলীগ।,Bangla,Facebook,Negative
জয় বাংলা জয় বঙ্গবন্ধু।। বাংলাদেশ ছাত্রলীগ নেতা মোদের শেখ মুজিব ।,Bangla,Facebook,Negative
বাংলাদেশ আওয়ামীলীগ মাগুরা জেলা কুতুবুল্লাহ হোসেন কুটি মিয়ার কাকার সৈনিক আমরা।,Bangla,Facebook,Negative
আমাদের পটুয়াখালী জেলা ছাএলীগ এর অহংকার। ,Bangla,Facebook,Negative
নেত্রী দেশে ফিরে আসলে দেশ তাই একদম ঠান্ডা হবে সোনার বাংলাদেশ থাকবে। ,Bangla,Facebook,Negative
আবারও ফিরে আসুক শেখ হাসিনা। ,Bangla,Facebook,Negative
কতোটা দেশোদ্রহি হলে এই রকম লেভেলের হিংসাত্মক হয়।,Bangla,Facebook,Positive
কত বড়ই না খারাপ ছিল এই মহিলা সে সবসময় রক্তপাত চেয়েছিল।  ,Bangla,Youtube,Positive
অনেক পাপ করছে এই মহিলা। এর থেকে আগামী রাজনীতিবিদ দের শিক্ষা নেয়া উচিত।,Bangla,Youtube,Positive
শেখ হাসিনাকে অভিনন্দন। ,Bangla,Youtube,Negative
মিথ্যা ছাড়া আর কিছুই বলেন না আওয়ামিলীগ।,Bangla,Youtube,Positive
এদেশে ফিরবে আবার শেখ হাসিনা ইনশাআল্লাহ ,Bangla,Youtube,Negative
তত্ত্বাবধায়ক সরকার এবং অন্য সরকার ক্ষমতায় বাংলাদেশে আসার নাম কারাগারে ঢুকে যাওয়া।,Bangla,Youtube,Negative
আসো তুমাদের সাথে খেলা হবে। ,Bangla,Youtube,Positive
"আগেই ফাসির রায়, এর পর আসো দেশে । ",Bangla,Youtube,Positive
ওনাকে তো দেশে ফিরতেই হবে। তবে নির্বাচনের জন্য নয়।,Bangla,Youtube,Positive
কিছু দিন আগে বল্লো তাদের কেউ আর রাজনীতি করবে না। ,Bangla,Youtube,Neutral
ওনাকে দেশে ফিরিয়ে আনা হবে শুধু বিচারের জন্য।,Bangla,Youtube,Positive
ইনশাআল্লাহ ফিরবো আবার আওয়ামী লীগ জয় বাংলা। ,Bangla,Youtube,Negative
তাহার রক্ত ছাড়া এতোগুলা জীবন বৃথা। ,Bangla,Youtube,Positive
আসতেই হবে কঠিন বিচার করা হবে। ,Bangla,Youtube,Positive
জয় বাংলাদেশ জয় হোক শেখ হাসিনা সরকার। দোয়া করি মন থেকে।,Bangla,Youtube,Negative
ফাঁসিতে ঝুলার জন্য ওয়েলকাম,Bangla,Youtube,Positive
বাংলাদেশ শেখ হাসিনার অপেক্ষা করছে স্বাগত জানানোর জন্য ,Bangla,Youtube,Negative
যার লজ্জা নাই সেই সব থেকে সুখি মানুষ আমাদের হাসিনা আপা। ,Bangla,Youtube,Positive
জয় বাংলা জয় বঙ্গবন্ধু ,Bangla,Youtube,Negative
দেশের প্রত্যেকটি মানুষ চায় তোমরা দেশে ফিরে আসো,Bangla,Youtube,Negative
মায়ের মতোই উন্মাদ এবং মাতাল।,Bangla,Youtube,Positive
আমি চাই শেখ হাসিনা আবার আসবে তুমি। শেখ হাসিনা কে স্যালুট জানাই তার অবদান কখনো ভুলে যাবে না। জয়কে প্রধান মন্ত্রী হিসেবে চাই।,Bangla,Youtube,Negative
আসুক! এক লিষ্ট এমপি মন্ত্রী দলের জন্য সব শাস্তি একা সে কেনো নিবে?,Bangla,Youtube,Neutral
সব সরকার দূর্নীতি করে উন্নয়ন কার আমলে হইসে? শেখ হাসিনা জন্যই ভালো দিক মনে রাখা উচিত,Bangla,Youtube,Negative
"আসলে তো ভালোই হয় আমরাও চাই আসো, এখনো তোমাদের এই দেশে বিচার বাকি।",Bangla,Youtube,Positive
"আগে বিচার হবে , পরে নির্বাচন এ দাঁড়াবেন",Bangla,Youtube,Positive
জয় নিজে বলছে তার পরিবার আর রাজনীতি করবে না,Bangla,Youtube,Neutral
বাংলাদেশ মৃত লাশের জবাব দে?,Bangla,Youtube,Positive
বাংলাদেশে ঐ পাটি সংবিধানের থেকে বাদ দিয়ে দিতে হবে।,Bangla,Youtube,Positive
 শেখ হাসিনা ফিরে আসলে সবচেয়ে ভালো। সরকারকে কষ্ট করতে হবে না।,Bangla,Youtube,Negative
এসব খবর কেন দেন এই মিডিয়া এসব এড়িয়ে দেশের উন্নয়ন এ কাজ করুন,Bangla,Youtube,Neutral
কোন জায়গাইয় ঠাই নাই শেষমেষ দেশেই আসতে হচ্ছে।,Bangla,Youtube,Positive
"শেখ হাসিনাতেই আস্থা, প্রিয় নেত্রীর প্রত্যাবর্তন চাই। ",Bangla,Youtube,Negative
চোরের কোন দরকার নাই এদেশে। ,Bangla,Youtube,Positive
আর কোনোদিন নির্বাচন দেয়া হবে না ।,Bangla,Youtube,Negative
তুমি আগে বিলিয়ন বিলিয়ন ডলার আমেরিকা প্রচার করছো আমেরিকান নিউজও দিছে এগুলা বাংলাদেশের ফিরিয়ে আনো,Bangla,Youtube,Positive
"আসতে বলিও বাংলাদেশের জনগনও দেখতে চাই আর ওর বিচার তো বাংলাদেশে হবেই "" ইনশা আল্লাহ "" ফাঁশি",Bangla,Youtube,Positive
আমরা চাই দেশে আসুক জনগন তার বিচার করবে,Bangla,Youtube,Positive
"শেখ হাসিনা নাকি পদত্যাগ করে নি,আমরা আমাদের সরকার কে চাই",Bangla,Youtube,Negative
এক দফা এক দাবি শেখ হাসিনাকেই সরকার চাই,Bangla,Youtube,Negative
শেখ হাসিনাকে অভিনন্দন দেশে আসার জন্য জয় বাংলা জয় বঙ্গবন্ধু,Bangla,Youtube,Negative
শেখ হাসিনা সরকার আবার দরকার,Bangla,Youtube,Negative
৫ই আগষ্ট বাংলার কলংময় একটা দিন।,Bangla,Youtube,Negative
সকল সচিব এর পদত্যাগ চাই,Bangla,Youtube,Positive
শেখ হাসিনা সরকার আমাদের দরকার জয় বঙ্গবন্ধু জয় শেখ হাসিনা,Bangla,Youtube,Negative
শেখ হাসিনা সরকার বার বার দরকার,Bangla,Youtube,Negative
উনারা এখনো আছেন বহাল তবিয়তে? তাহলে আপনারাই বলুন দেশ কি ভাবে ভাল থাকবে ।,Bangla,Youtube,Neutral
কি লাভ হলো তাহলে এত কিছু করে এত রক্ত ঝরিয়ে,Bangla,Youtube,Positive
সব সচিব কেন এখনো আছেন। এরা আপনাকে ব্যর্থ বানাবে স্যার। সকল সচিব পদত্যাগ করতে হবে,Bangla,Youtube,Neutral
দেশে এনে বিচারের মুখোমুখি করার দাবি জানাচ্ছি,Bangla,Youtube,Positive
আওয়ামী লীগ কোন রাজনৈতিক দল নয়।এটি ভারতের গোয়েন্দা সংস্থা 'র' কতৃক পরিচালিত একটি এজেন্ট।যারা ইসলাম বিরোধী কর্মকান্ড এবং ভারতের স্বার্থ সুরক্ষায় কাজ করেছিলো।,Bangla,Youtube,Positive
সমন্বয়ক নামক রাজাকার গুলো,Bangla,Youtube,Negative
যতকাল রবে পদ্মা মেঘনা যমুনা বহমান ততোকাল তুমি রবে তুমি রবে বঙ্গবন্ধু শেখ মুজিবুর রহমান জয় বাংলা,Bangla,Youtube,Negative
"১৫৮ জন সমন্বয়ক ও সহসমন্বয়কের তালিকা অনুযায়ী পরিবারের সদস্য ও ঠিকানা সংগ্রহ শুরু হয়েছে, একটাকেও পালাতে দেয়া হবে না।",Bangla,Youtube,Negative
ইনশাআল্লাহ বাংলার মাটিতে তাদের বিচার হবে জয় বাংলা।,Bangla,Youtube,Negative
জন্মের পর এই প্রথম এমন শক্ত এবং কঠিন আন্দলোন দেখলাম।দোয়া রইলো সকল সৎ এবং সাহসী ছাত্র ছাত্রীর।এমন ছাত্রদের নিয়ে সত্যিই খুব গর্ব হয়।ধন্যবাদ এমন বাবা মায়ের জন্য বাংলার মাটিতে এমন সাহসী সন্তান জন্ম দেওয়ার জন্য।সাধারণ মানুষের কষ্ট হলেও এমন ছাত্র ছাত্রীর জন্য দোয়া করা উচিত।,Bangla,Youtube,Positive
যৌক্তিক দাবি। সফল হোক এই কোটা সংস্কার আন্দোলন,Bangla,Youtube,Positive
ছাত্ররাই সঠিক পথে আছে। ,Bangla,Youtube,Positive
